zip,zip_population_2010,zip_land_area_2010,primary_RUCA_code_2010,zip_population_density_2010,rural_urban_class
00971,22180.0,3.708224130768174,1.0,5981.2997321187595,urban
00975,1994.0,0.0878783994365997,1.0,22690.44512398728,urban
00976,136713.0,24.26610316341235,1.0,5633.908299134386,urban
00977,4283.0,0.26610084679929,1.0,16095.401617532272,urban
00979,21876.0,7.979173262578827,1.0,2741.6374203321648,urban
00981,11.0,2.21242994176035,1.0,4.971908846635705,urban
00982,38145.0,4.802314141996031,1.0,7943.04555514676,urban
00983,62561.0,6.783461931097752,1.0,9222.57700204649,urban
00984,4620.0,0.523481189874239,1.0,8825.532014072765,urban
00985,63328.0,16.426677652560553,1.0,3855.1922269034467,urban
00986,1633.0,0.114352653371367,1.0,14280.38573531596,urban
00987,88031.0,22.233362471177482,1.0,3959.4101033579677,urban
00988,5301.0,0.550990969842331,1.0,9620.847328073107,urban
01001,28438.0,23.30980182147562,1.0,1220.0017922846391,urban
01002,49002.0,169.89541727606462,1.0,288.4244954081145,urban
01003,30489.0,33.627881287480896,1.0,906.65836896928,urban
01004,6342.0,2.62769171131295,1.0,2413.525137936049,urban
